Flight No.,Date,Year,Time,Class,Launch outcome,Launch Site,Lat,Long,Hour,Launch site,Payload,Payload Mass(kg),Orbit,Customer,Company,Ownership,Industry,Continent,Country,Booster Family,Version Booster,Booster landing,Description
1,2010-06-04,2010,18:45:00,0,Success,CCAFS,28.562302,-80.577356,18,CCAFS,Dragon Spacecraft Qualification Unit,,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-v1.0,F9 v1.0B0003,Failure,First flight of Falcon 9 v1.0.[11] Used a boilerplate version of Dragon capsule which was not designed to separate from the second stage.(more details below) Attempted to recover the first stage by parachuting it into the ocean but it burned up on reentry before the parachutes even got to deploy.[12]
2,2010-12-08,2010,15:43:00,0,Success,CCAFS,28.562302,-80.577356,15,CCAFS,Dragon,,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-v1.0,F9 v1.0B0004,Failure,Maiden flight of SpaceX's Dragon capsule consisting of over 3 hours of testing thruster maneuvering and then reentry.[15] Attempted to recover the first stage by parachuting it into the ocean but it disintegrated upon reentry again before the parachutes were deployed.[12] (more details below) It also included two CubeSats[16] and a wheel of Brouère cheese. Before the launch SpaceX discovered that there was a crack in the nozzle of the 2nd stage's Merlin vacuum engine. So Elon just had them cut off the end of the nozzle with a pair of shears and launched the rocket a few days later. After SpaceX had trimmed the nozzle NASA was notified of the change and they agreed to it.[17]
3,2012-05-22,2012,07:44:00,0,Success,CCAFS,28.562302,-80.577356,7,CCAFS,Dragon,525.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-v1.0,F9 v1.0B0005,No attempt,The Dragon spacecraft demonstrated a series of tests before it was allowed to approach the International Space Station. Two days later it became the first commercial spacecraft to board the ISS.[18] (more details below)
4,2012-10-08,2012,00:35:00,0,Success,CCAFS,28.562302,-80.577356,0,CCAFS,SpaceX CRS-1,4700.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-v1.0,F9 v1.0B0006,No attempt,CRS-1 was successful but the secondary payload was inserted into an abnormally low orbit and subsequently lost. This was due to one of the nine Merlin engines shutting down during the launch and NASA declining a second reignition as per ISS visiting vehicle safety rules the primary payload owner is contractually allowed to decline a second reignition. NASA stated that this was because SpaceX could not guarantee a high enough likelihood of the second stage completing the second burn successfully which was required to avoid any risk of secondary payload's collision with the ISS.[27][28][29]
5,2013-03-01,2013,15:10:00,0,Success,CCAFS,28.562302,-80.577356,15,CCAFS,SpaceX CRS-2,4877.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-v1.0,F9 v1.0B0007,No attempt,Last launch of the original Falcon 9 v1.0 launch vehicle first use of the unpressurized trunk section of Dragon.[30]
6,2013-09-29,2013,16:00:00,0,Success,VAFB,34.632834,-120.610746,16,VAFB,CASSIOPE,500.0,Polar orbit,MDA,MDA,Government,Defense,North America,USA,F9-v1.1,F9 v1.1B1003,Uncontrolled,First commercial mission with a private customer first launch from Vandenberg and demonstration flight of Falcon 9 v1.1 with an improved 13-tonne to LEO capacity.[30] After separation from the second stage carrying Canadian commercial and scientific satellites the first stage booster performed a controlled reentry[33] and an ocean touchdown test for the first time. This provided good test data even though the booster started rolling as it neared the ocean leading to the shutdown of the central engine as the roll depleted it of fuel resulting in a hard impact with the ocean.[31] This was the first known attempt of a rocket engine being lit to perform a supersonic retro propulsion and allowed SpaceX to enter a public-private partnership with NASA and its Mars entry descent and landing technologies research projects.[34] (more details below)
7,2013-12-03,2013,22:41:00,0,Success,CCAFS,28.562302,-80.577356,22,CCAFS,SES-8,3170.0,GTO,SES,SES,Private,Satellite,Europe,Luxembourg,F9-v1.1,F9 v1.1,No attempt,First Geostationary transfer orbit (GTO) launch for Falcon 9[36] and first successful reignition of the second stage.[40] SES-8 was inserted into a Super-Synchronous Transfer Orbit of 79341 km (49300 mi) in apogee with an inclination of 20.55° to the equator.
8,2014-01-06,2014,22:06:00,0,Success,CCAFS,28.562302,-80.577356,22,CCAFS,Thaicom 6,3325.0,GTO,Thaicom,Thaicom,Private,Communications,Asia,Thailand,F9-v1.1,F9 v1.1,No attempt,"The Thai communication satellite was the second GTO launch for Falcon 9. The USAF evaluated launch data from this flight as part of a separate certification program for SpaceX to qualify to fly military payloads but found that the launch had ""unacceptable fuel reserves at engine cutoff of the stage 2 second burnoff"".[45] Thaicom-6 was inserted into a Super-Synchronous Transfer Orbit of 90039 km (55948 mi) in apogee with an inclination of 22.46° to the equator."
9,2014-04-18,2014,19:25:00,1,Success,Cape Canaveral,28.396837,-80.605659,19,Cape Canaveral,SpaceX CRS-3,2296.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-v1.1,F9 v1.1,Controlled,Following second-stage separation SpaceX conducted a second controlled-descent test of the discarded booster vehicle and achieved the first successful controlled ocean touchdown of a liquid-rocket-engine orbital booster.[48][49] Following the soft touchdown the first stage tipped over as expected and was destroyed. This was the first Falcon 9 booster to fly with extensible landing legs and the first Dragon mission with the Falcon 9 v1.1 launch vehicle. This flight also launched the ELaNa 5 mission for NASA as a secondary payload.[50][51]
10,2014-07-14,2014,15:15:00,1,Success,Cape Canaveral,28.396837,-80.605659,15,Cape Canaveral,Orbcomm-OG2,1316.0,LEO,Orbcomm,Orbcomm,Private,Communications,North America,USA,F9-v1.1,F9 v1.1,Controlled,Payload included six satellites weighing 172  (379 lb) each and two 142  (313 lb) mass simulators.[25][53] Equipped for the second time with landing legs the first-stage booster successfully conducted a controlled-descent test consisting of a burn for deceleration from hypersonic velocity in the upper atmosphere a reentry burn and a final landing burn before soft-landing on the ocean surface.[54]
